"run","tick","OriginOfConsumedResouces"
1,4.0,"Western Asia:Northern America|39044.52;South America|0.0;Central Asia|588.0;Eastern Europe|1176.0;Northern Europe|4192.22;Western Europe|45733.04;Oceania|20574.24;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|76037.15;China|0.0;"
1,4.0,"Southern Europe:Northern America|71890.29;South America|0.0;Central Asia|0.0;Eastern Europe|3198.0;Northern Europe|7602.26;Western Europe|82959.94;Oceania|35190.24;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|138993.7;China|0.0;"
1,4.0,"Eastern Africa:Northern America|24399.93;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2660.56;Western Europe|29017.72;Oceania|13429.4;Russian Federation|0.0;India|0.0;Pakistan|1119.0;United States of America|48245.19;China|0.0;"
1,4.0,"Northern America:Northern America|727812.52;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,4.0,"Northern Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|1597480.94;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,4.0,"United States of America:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|2723880.68;China|0.0;"
1,4.0,"Central Asia:Northern America|28749.71;South America|0.0;Central Asia|1107195.48;Eastern Europe|0.0;Northern Europe|3443.62;Western Europe|37566.06;Oceania|13580.44;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|59135.56;China|0.0;"
1,4.0,"India:Northern America|48285.12;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|5107.3;Western Europe|55718.52;Oceania|25784.6;Russian Federation|0.0;India|4848139.6;Pakistan|0.0;United States of America|47545.42;China|0.0;"
1,5.0,"Western Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|10987.0;Northern Europe|9675.0;Western Europe|2782021.52;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,5.0,"Western Africa:Northern America|43260.86;South America|0.0;Central Asia|0.0;Eastern Europe|2596.0;Northern Europe|4618.75;Western Europe|50533.96;Oceania|21734.04;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|85550.35;China|0.0;"
